ID,Name,Species,Variant,Generation,Evolves_from,Type1,Type2,Total,HP,Attack,Defense,Special_Atk,Special_Def,Speed,image_url,VGC2022_rules,Monthly Usage (k)
447,Riolu,Riolu,NULL,4,NULL,Fighting,NULL,285,40,70,40,35,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/riolu.png,Permitted,13
439,Mime Jr.,Mime,Jr.,4,NULL,Psychic,Fairy,310,20,25,45,70,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/mime-jr.png,Permitted,0
172,Pichu,Pichu,NULL,2,NULL,Electric,NULL,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,Permitted,0
173,Cleffa,Cleffa,NULL,2,NULL,Fairy,NULL,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,Permitted,0
174,Igglybuff,Igglybuff,NULL,2,NULL,Normal,Fairy,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,Permitted,0
175,Togepi,Togepi,NULL,2,NULL,Fairy,NULL,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,Permitted,0
236,Tyrogue,Tyrogue,NULL,2,NULL,Fighting,NULL,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,Permitted,0
238,Smoochum,Smoochum,NULL,2,NULL,Ice,Psychic,305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,Permitted,0
239,Elekid,Elekid,NULL,2,NULL,Electric,NULL,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,Permitted,0
240,Magby,Magby,NULL,2,NULL,Fire,NULL,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,Permitted,0
298,Azurill,Azurill,NULL,3,NULL,Normal,Fairy,190,50,20,40,20,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png,Permitted,0
360,Wynaut,Wynaut,NULL,3,NULL,Psychic,NULL,260,95,23,48,23,48,23,https://img.pokemondb.net/sprites/sword-shield/icon/wynaut.png,Permitted,0
406,Budew,Budew,NULL,4,NULL,Grass,Poison,280,40,30,35,50,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/budew.png,Permitted,0
433,Chingling,Chingling,NULL,4,NULL,Psychic,NULL,285,45,30,50,65,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/chingling.png,Permitted,0
438,Bonsly,Bonsly,NULL,4,NULL,Rock,NULL,290,50,80,95,10,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/bonsly.png,Permitted,0
440,Happiny,Happiny,NULL,4,NULL,Normal,NULL,220,100,5,5,15,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/happiny.png,Permitted,0
446,Munchlax,Munchlax,NULL,4,NULL,Normal,NULL,390,135,85,40,40,85,5,https://img.pokemondb.net/sprites/sword-shield/icon/munchlax.png,Permitted,0
458,Mantyke,Mantyke,NULL,4,NULL,Water,Flying,345,45,20,50,60,120,50,https://img.pokemondb.net/sprites/sword-shield/icon/mantyke.png,Permitted,0
848,Toxel,Toxel,NULL,8,NULL,Electric,Poison,242,40,38,35,54,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/toxel.png,Permitted,0
122,Mime Galarian Mr. Mime,Mr.,Mime Galarian  Mime,8,Mime-jr,Ice,Psychic,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,Permitted,2
701,Hawlucha,Hawlucha,NULL,6,NULL,Fighting,Flying,500,78,92,75,74,63,118,https://img.pokemondb.net/sprites/sword-shield/icon/hawlucha.png,Permitted,3
780,Drampa,Drampa,NULL,7,NULL,Normal,Dragon,485,78,60,85,135,91,36,https://img.pokemondb.net/sprites/sword-shield/icon/drampa.png,Permitted,4
257,Blaziken,Blaziken,NULL,3,Combusken,Fire,Fighting,530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,Permitted,6
91,Cloyster,Cloyster,NULL,1,Shellder,Water,Ice,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Permitted,2
242,Blissey,Blissey,NULL,2,Chansey,Normal,NULL,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,Permitted,3
784,Kommo-o,Kommo-o,NULL,7,Hakamo-o,Dragon,Fighting,600,75,110,125,100,105,85,https://img.pokemondb.net/sprites/sword-shield/icon/kommo-o.png,Permitted,2
573,Cinccino,Cinccino,NULL,5,Minccino,Normal,NULL,470,75,95,60,65,60,115,https://img.pokemondb.net/sprites/sword-shield/icon/cinccino.png,Permitted,3
697,Tyrantrum,Tyrantrum,NULL,6,Tyrunt,Rock,Dragon,521,82,121,119,69,59,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyrantrum.png,Permitted,918
169,Crobat,Crobat,NULL,2,Golbat,Poison,Flying,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,Permitted,5
196,Espeon,Espeon,NULL,2,Eevee,Psychic,NULL,525,65,65,60,130,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,Permitted,3
770,Palossand,Palossand,NULL,7,Sandygast,Ghost,Ground,480,85,75,110,100,75,35,https://img.pokemondb.net/sprites/sword-shield/icon/palossand.png,Permitted,5
310,Manectric,Manectric,NULL,3,Electrike,Electric,NULL,475,70,75,60,105,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png,Permitted,3
471,Glaceon,Glaceon,NULL,4,Eevee,Ice,NULL,525,65,60,110,130,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/glaceon.png,Permitted,1
94,Gengar,Gengar,NULL,1,Haunter,Ghost,Poison,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Permitted,10
479,Mow Rotom,Rotom,Mow,4,NULL,Electric,Grass,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-mow.png,Permitted,3
51,Dugtrio,Dugtrio,NULL,1,Diglett,Ground,NULL,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Permitted,3
405,Luxray,Luxray,NULL,4,Luxio,Electric,NULL,523,80,120,79,95,79,70,https://img.pokemondb.net/sprites/sword-shield/icon/luxray.png,Permitted,2
569,Garbodor,Garbodor,NULL,5,Trubbish,Poison,NULL,474,80,95,82,60,82,75,https://img.pokemondb.net/sprites/sword-shield/icon/garbodor.png,Permitted,1
128,Tauros,Tauros,NULL,1,NULL,Normal,NULL,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,Permitted,3
796,Xurkitree,Xurkitree,NULL,7,NULL,Electric,NULL,570,83,89,71,173,71,83,https://img.pokemondb.net/sprites/sword-shield/icon/xurkitree.png,Permitted,4
617,Accelgor,Accelgor,NULL,5,Shelmet,Bug,NULL,495,80,70,40,100,60,145,https://img.pokemondb.net/sprites/sword-shield/icon/accelgor.png,Permitted,7
773,Silvally,Silvally,NULL,7,Type-null,Normal,NULL,570,95,95,95,95,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/silvally.png,Permitted,2
706,Goodra,Goodra,NULL,6,Sliggoo,Dragon,NULL,600,90,100,70,110,150,80,https://img.pokemondb.net/sprites/sword-shield/icon/goodra.png,Permitted,6
68,Machamp,Machamp,NULL,1,Machoke,Fighting,NULL,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Permitted,4
226,Mantine,Mantine,NULL,2,Mantyke,Water,Flying,485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,Permitted,3
836,Boltund,Boltund,NULL,8,Yamper,Electric,NULL,490,69,90,60,90,60,121,https://img.pokemondb.net/sprites/sword-shield/icon/boltund.png,Permitted,2
534,Conkeldurr,Conkeldurr,NULL,5,Gurdurr,Fighting,NULL,505,105,140,95,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/conkeldurr.png,Permitted,10
