Move,Use Percentage,Pokemon,Monthly Move Use,Damage Class,Type1,Type2
Behemoth Blade,99.996,Zacian Crowned Sword,1087.95648,Physical,Fairy,Steel
Protect,98.672,Zacian Crowned Sword,1073.55136,Status,Fairy,Steel
Protect,72.095,Regieleki,434.73285,Status,Electric,Electric
Protect,47.379,Rillaboom,228.36678,Status,Grass,Grass
Protect,71.432,Calyrex Shadow Rider,259.29816,Status,Psychic,Ghost
Protect,18.17,Thundurus Incarnate Forme,63.9584,Status,Electric,Flying
Protect,38.395,Landorus Therian Forme,141.67755,Status,Ground,Flying
Protect,96.36,Gastrodon,381.5856,Status,Water,Ground
Protect,83.021,Charizard,285.59224,Status,Fire,Flying
Protect,87.546,Amoonguss,306.411,Status,Grass,Poison
Protect,86.716,Indeedee Female,335.59092,Status,Normal,Psychic
Protect,22.509,Whimsicott,95.66325,Status,Grass,Fairy
Protect,50.254,Calyrex Ice Rider,147.74676,Status,Psychic,Ice
Protect,72.217,Tornadus Incarnate Forme,137.93447,Status,Flying,Flying
Protect,50.897,Zapdos,85.50696,Status,Electric,Flying
Protect,6.683,Blastoise,6.54934,Status,Water,Water
Protect,21.665,Venusaur,44.1966,Status,Grass,Poison
Protect,81.649,Ferrothorn,106.96019,Status,Grass,Steel
Protect,34.116,Urshifu Single Strike Style,42.645,Status,Fighting,Dark
Protect,16.046,Shedinja,6.73932,Status,Bug,Ghost
Protect,80.649,Torkoal,50.80887,Status,Fire,Fire
Protect,63.421,Kingdra,23.46577,Status,Water,Dragon
Protect,99.905,Weezing,42.95915,Status,Poison,Poison
Protect,13.979,Entei,6.9895,Status,Fire,Fire
Protect,67.535,White Kyurem,64.15825,Status,Dragon,Ice
Protect,66.133,Tapu Fini,48.93842,Status,Water,Fairy
Protect,41.898,Urshifu Rapid Strike Style,24.30084,Status,Water,Fighting
Protect,8.373,Mimikyu,9.54522,Status,Ghost,Fairy
Protect,10.11,Gothitelle,2.022,Status,Psychic,Psychic
Protect,19.664,Seismitoad,11.60176,Status,Water,Ground
Protect,38.355,Heat Rotom,16.49265,Status,Electric,Fire
Protect,52.181,Eternatus,21.39421,Status,Poison,Dragon
Protect,33.156,Regigigas,12.26772,Status,Normal,Normal
Protect,7.227,Cinderace,3.25215,Status,Fire,Fire
Protect,28.78,Togekiss,11.2242,Status,Fairy,Flying
Protect,95.081,Coalossal,38.0324,Status,Fire,Rock
Protect,15.463,Dragapult,8.35002,Status,Ghost,Dragon
Protect,40.43,Comfey,21.8322,Status,Fairy,Fairy
Protect,75.603,Lapras,46.11783,Status,Water,Ice
Protect,11.105,Spectrier,2.10995,Status,Ghost,Ghost
Protect,92.208,Zygarde Complete Forme,38.72736,Status,Ground,Dragon
Protect,98.706,Mamoswine,15.79296,Status,Ice,Ground
Protect,16.709,Barraskewda,6.18233,Status,Water,Water
Protect,56.26,Celesteela,14.6276,Status,Flying,Steel
Protect,31.412,Metagross,8.48124,Status,Psychic,Steel
Protect,63.689,Araquanid,9.55335,Status,Bug,Water
Protect,34.151,Pheromosa,9.90379,Status,Bug,Fighting
Protect,29.617,Arcanine,6.81191,Status,Fire,Fire
Protect,24.521,Zamazenta Crowned Shield,10.05361,Status,Fighting,Steel
Protect,87.372,Clefairy,21.843,Status,Fairy,Fairy
Protect,12.797,Suicune,3.58316,Status,Water,Water
Protect,39.259,Landorus Incarnate Forme,9.02957,Status,Ground,Flying
Protect,17.619,Dusk Mane Necrozma,8.63331,Status,Psychic,Steel
Protect,28.23,Alcremie,5.0814,Status,Fairy,Fairy
Protect,54.95,Tapu Koko,14.8365,Status,Electric,Fairy
Protect,10.076,Hydreigon,1.30988,Status,Dark,Dragon
Protect,5.447,Weavile,0.76258,Status,Dark,Ice
Protect,15.987,Tsareena,4.15662,Status,Grass,Grass
Protect,72.366,Glastrier,9.40758,Status,Ice,Ice
Protect,45.752,Dracovish,14.64064,Status,Water,Dragon
Protect,26.551,Regidrago,3.18612,Status,Dragon,Dragon
Protect,55.975,Shuckle,3.91825,Status,Rock,Bug
Protect,13.49,Galarian Zapdos,3.5074,Status,Fighting,Flying
Protect,53.139,Volcarona,14.87892,Status,Fire,Bug
Protect,16.243,Snorlax,2.92374,Status,Normal,Normal
Protect,20.099,Stakataka,4.62277,Status,Steel,Rock
Protect,61.679,Thundurus Therian Forme,5.55111,Status,Electric,Flying
Protect,64.149,Galarian Moltres,22.45215,Status,Dark,Flying
Protect,10.561,Talonflame,2.32342,Status,Fire,Flying
Protect,28.812,Milotic,8.6436,Status,Water,Water
Protect,23.569,Klinklang,208.34996,Status,Steel,Steel
Protect,49.926,Inteleon,5.49186,Status,Water,Water
Protect,85.435,Salamence,6.8348,Status,Flying,Dragon
Protect,16.234,Hatterene,3.57148,Status,Psychic,Fairy
Protect,61.313,Escavalier,5.51817,Status,Bug,Steel
Protect,25.385,Wash Rotom,4.0616,Status,Electric,Water
Protect,91.495,Politoed,6.40465,Status,Water,Water
Protect,54.366,Ludicolo,8.69856,Status,Water,Grass
Protect,13.688,Slowking,0.27376,Status,Water,Psychic
Protect,86.11,Azumarill,7.7499,Status,Water,Fairy
Protect,21.058,Galarian Articuno,2.94812,Status,Psychic,Flying
Protect,70.131,Tyranitar,16.83144,Status,Rock,Dark
Protect,39.686,Pikachu,5.15918,Status,Electric,Electric
Protect,34.66,Alolan Ninetales,5.5456,Status,Ice,Fairy
Protect,61.602,Alolan Marowak,9.85632,Status,Fire,Ghost
Protect,23.582,Slowbro,0.94328,Status,Water,Psychic
Protect,89.46,Giratina Origin Forme,14.3136,Status,Ghost,Dragon
Protect,92.099,Pelipper,7.36792,Status,Water,Flying
Protect,98.182,Galarian Weezing,7.85456,Status,Poison,Fairy
Protect,34.467,Kingler,3.10203,Status,Water,Water
Protect,5.918,Oranguru,1.00606,Status,Normal,Psychic
Protect,79.896,Nihilego,5.59272,Status,Rock,Poison
Protect,36.337,Gyarados,5.45055,Status,Water,Flying
Protect,78.372,Garchomp,11.7558,Status,Ground,Dragon
Protect,3.302,Heliolisk,0.26416,Status,Electric,Normal
Protect,95.512,Tapu Bulu,1.91024,Status,Grass,Fairy
Protect,70.513,Moltres,2.11539,Status,Fire,Flying
Protect,55.764,Krookodile,6.13404,Status,Ground,Dark
Protect,52.241,Excadrill,5.2241,Status,Ground,Steel
Protect,25.828,Primarina,2.84108,Status,Water,Fairy
Protect,31.68,Chandelure,2.8512,Status,Fire,Ghost
Protect,7.983,Toxicroak,0.15966,Status,Poison,Fighting
Protect,77.202,Dracozolt,6.17616,Status,Electric,Dragon
Protect,12.192,Sceptile,0.6096,Status,Grass,Grass
Protect,59.938,Pincurchin,5.39442,Status,Electric,Electric
Protect,53.474,Centiskorch,6.41688,Status,Fire,Bug
Protect,12.887,Greedent,0.12887,Status,Normal,Normal
Protect,45.254,Porygon-Z,3.16778,Status,Normal,Normal
Protect,16.718,Butterfree,2.67488,Status,Bug,Flying
Protect,16.667,Lucario,1.50003,Status,Fighting,Steel
Protect,39.933,Mudsdale,2.39598,Status,Ground,Ground
Protect,74.909,Cherrim,5.99272,Status,Grass,Grass
Protect,94.922,Exeggutor,2.84766,Status,Grass,Psychic
Protect,36.205,Altaria,1.08615,Status,Flying,Dragon
Protect,7.055,Klefki,0.35275,Status,Fairy,Steel
Protect,38.745,Gigalith,1.5498,Status,Rock,Rock
Protect,16.695,Riolu,2.17035,Status,Fighting,Fighting
Protect,37.799,Mandibuzz,1.13397,Status,Dark,Flying
Protect,88.577,Lurantis,3.54308,Status,Grass,Grass
Protect,13.812,Dragonite,1.3812,Status,Flying,Dragon
Protect,9.63,Darmanitan Standard Mode,0.2889,Status,Fire,Fire
Protect,76.158,Cradily,8.37738,Status,Rock,Grass
Protect,11.164,Scrafty,0.66984,Status,Fighting,Dark
Protect,14.602,Aerodactyl,0.7301,Status,Rock,Flying
Protect,82.275,Kabutops,3.291,Status,Water,Rock
Protect,11.529,Articuno,0.46116,Status,Ice,Flying
Protect,34.539,Blacephalon,3.10851,Status,Fire,Ghost
Protect,27.218,Duraludon,2.17744,Status,Steel,Dragon
Protect,5.38,Drednaw,0.2152,Status,Water,Rock
Protect,63.329,Heatran,5.69961,Status,Fire,Steel
Protect,89.806,Clefable,6.28642,Status,Fairy,Fairy
Protect,77.286,Appletun,3.09144,Status,Grass,Dragon
Protect,28.99,Bisharp,2.899,Status,Dark,Steel
Protect,98.265,Registeel,2.94795,Status,Steel,Steel
Protect,58.95,Rhyperior,5.3055,Status,Ground,Rock
Protect,99.276,Stonjourner,2.97828,Status,Rock,Rock
Protect,7.591,Leafeon,0.37955,Status,Grass,Grass
Protect,20.232,Abomasnow,1.0116,Status,Grass,Ice
Protect,50.219,Diggersby,0.50219,Status,Normal,Ground
Protect,71.993,Giratina Altered Forme,6.47937,Status,Ghost,Dragon
Protect,85.271,Swoobat,1.70542,Status,Psychic,Flying
Protect,38,Vikavolt,1.14,Status,Bug,Electric
Protect,52.899,Durant,2.11596,Status,Bug,Steel
Protect,17.115,Cresselia,1.7115,Status,Psychic,Psychic
Protect,93.21,Wishiwashi Solo Form,0.9321,Status,Water,Water
Protect,45.108,Conkeldurr,4.5108,Status,Fighting,Fighting
Protect,49.036,Boltund,0.98072,Status,Electric,Electric
Protect,94.208,Terrakion,4.7104,Status,Rock,Fighting
Protect,15.715,Cobalion,0.9429,Status,Fighting,Steel
Protect,87.031,Black Kyurem,6.09217,Status,Dragon,Ice
Protect,10.292,Mantine,0.30876,Status,Water,Flying
Protect,73.416,Machamp,2.93664,Status,Fighting,Fighting
Protect,16.916,Goodra,1.01496,Status,Dragon,Dragon
Protect,64.083,Accelgor,4.48581,Status,Bug,Bug
Protect,40.282,Xurkitree,1.61128,Status,Electric,Electric
Protect,92.519,Tauros,2.77557,Status,Normal,Normal
Protect,99.3,Garbodor,0.993,Status,Poison,Poison
Protect,85.223,Luxray,1.70446,Status,Electric,Electric
Protect,12.018,Dugtrio,0.36054,Status,Ground,Ground
Protect,54.646,Mow Rotom,1.63938,Status,Electric,Grass
Protect,24.122,Gengar,2.4122,Status,Ghost,Poison
Protect,98.813,Glaceon,0.98813,Status,Ice,Ice
Protect,39.458,Palossand,1.9729,Status,Ground,Ghost
