ID,Name,Species,Variant,Generation,Rarity,Evolves_from,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,image_url,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank
447,Riolu,Riolu,NULL,4,Baby,NULL,Fighting,NULL,285,40,70,40,35,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/riolu.png,Permitted,13,0,162
439,Mime Jr.,Mime,Jr.,4,Baby,NULL,Psychic,Fairy,310,20,25,45,70,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/mime-jr.png,Permitted,0,0,0
172,Pichu,Pichu,NULL,2,Baby,NULL,Electric,NULL,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,Permitted,0,0,0
173,Cleffa,Cleffa,NULL,2,Baby,NULL,Fairy,NULL,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,Permitted,0,0,0
174,Igglybuff,Igglybuff,NULL,2,Baby,NULL,Normal,Fairy,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,Permitted,0,0,0
175,Togepi,Togepi,NULL,2,Baby,NULL,Fairy,NULL,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,Permitted,0,0,0
236,Tyrogue,Tyrogue,NULL,2,Baby,NULL,Fighting,NULL,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,Permitted,0,0,0
238,Smoochum,Smoochum,NULL,2,Baby,NULL,Ice,Psychic,305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,Permitted,0,0,0
239,Elekid,Elekid,NULL,2,Baby,NULL,Electric,NULL,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,Permitted,0,0,0
240,Magby,Magby,NULL,2,Baby,NULL,Fire,NULL,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,Permitted,0,0,0
298,Azurill,Azurill,NULL,3,Baby,NULL,Normal,Fairy,190,50,20,40,20,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png,Permitted,0,0,0
360,Wynaut,Wynaut,NULL,3,Baby,NULL,Psychic,NULL,260,95,23,48,23,48,23,https://img.pokemondb.net/sprites/sword-shield/icon/wynaut.png,Permitted,0,0,0
406,Budew,Budew,NULL,4,Baby,NULL,Grass,Poison,280,40,30,35,50,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/budew.png,Permitted,0,0,0
433,Chingling,Chingling,NULL,4,Baby,NULL,Psychic,NULL,285,45,30,50,65,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/chingling.png,Permitted,0,0,0
438,Bonsly,Bonsly,NULL,4,Baby,NULL,Rock,NULL,290,50,80,95,10,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/bonsly.png,Permitted,0,0,0
